activo_id,padre_id,planta_id,tipo_activo_id,codigo,nivel_jerarquico,posicion_relativa,numero_serie,reemplaza_a,criticidad,fecha_alta,estado,caracteristicas
1,,1,1,AREA-1,1,N/A (nodo de área),,,Media,2018-03-01,activo,{}
2,1.0,1,20,EQ-2,2,fondo del galpón,M-46976,,Media,2018-03-01,activo,{}
3,1.0,1,19,EQ-3,2,Rack 3,PG-81610,,Alta,2018-03-01,activo,{}
4,1.0,1,19,EQ-4,2,PASILLO 2,PG-60804,,Media,2018-03-01,activo,{}
5,1.0,1,20,EQ-5,2,junto a bomba anterior,M-18750,,Baja,2018-03-01,activo,{}
6,1.0,1,19,EQ-6,2,al lado de la puerta,PG-85751,,Alta,2018-03-01,activo,{}
7,1.0,1,19,EQ-7,2,junto a bomba anterior,PG-84945,,Alta,2018-03-01,activo,{}
8,1.0,1,19,EQ-8,2,s/d,PG-52440,,Baja,2018-03-01,activo,{}
9,,1,1,AREA-9,1,N/A (nodo de área),,,Media,2018-03-01,activo,{}
10,9.0,1,14,EQ-10,2,sector 1 izq,VDF-22581,,Alta,2018-03-01,activo,"{""voltaje_v"": 660, ""potencia_kw"": 238.2, ""modelo"": ""MOD-700"", ""numero_parte"": ""NP86956""}"
11,9.0,1,14,EQ-11,2,Rack 4,VDF-61713,,Media,2018-03-01,activo,"{""voltaje_v"": 6600, ""potencia_kw"": 281.8, ""modelo"": ""MOD-814"", ""numero_parte"": ""NP37355""}"
12,9.0,1,17,EQ-12,2,al lado del tablero ppal,E-49304,,Alta,2018-03-01,activo,"{""voltaje_v"": 380, ""potencia_kw"": 427.4, ""modelo"": ""MOD-467"", ""numero_parte"": ""NP13122""}"
13,9.0,1,5,EQ-13,2,detrás del compresor,MEA-87009,,Alta,2018-03-01,activo,"{""voltaje_v"": 380, ""potencia_kw"": 332.6, ""modelo"": ""MOD-213"", ""numero_parte"": ""NP60132""}"
14,9.0,1,14,EQ-14,2,s/d,VDF-69787,,Media,2018-03-01,activo,"{""voltaje_v"": 660, ""potencia_kw"": 87.7, ""modelo"": ""MOD-831"", ""numero_parte"": ""NP40085""}"
15,9.0,1,13,EQ-15,2,Rack 1,CT-79438,,Media,2018-03-01,activo,{}
16,,1,1,AREA-16,1,N/A (nodo de área),,,Media,2018-03-01,activo,{}
17,16.0,1,18,EQ-17,2,cerca ventana norte,VE-55093,,Alta,2018-03-01,activo,{}
18,16.0,1,5,EQ-18,2,esquina NE,MEA-50153,,Media,2018-03-01,activo,"{""voltaje_v"": 380, ""potencia_kw"": 317.0, ""modelo"": ""MOD-371"", ""numero_parte"": ""NP64647""}"
19,16.0,1,5,EQ-19,2,entrada principal,MEA-40832,,Baja,2018-03-01,activo,"{""voltaje_v"": 220, ""potencia_kw"": 454.7, ""modelo"": ""MOD-545"", ""numero_parte"": ""NP72972""}"
20,16.0,1,5,EQ-20,2,jaula 4,MEA-97224,,Baja,2018-03-01,activo,"{""voltaje_v"": 380, ""potencia_kw"": 227.4, ""modelo"": ""MOD-744"", ""numero_parte"": ""NP76322""}"
21,16.0,1,3,EQ-21,2,Rack 1,BH-50231,,Media,2018-03-01,activo,"{""caudal_m3h"": 17.8, ""presion_bar"": 83.4, ""modelo"": ""MOD-911"", ""numero_parte"": ""NP82778""}"
22,16.0,1,4,EQ-22,2,sector 1 izq,MEC-51688,,Baja,2018-03-01,activo,"{""voltaje_v"": 13200, ""potencia_kw"": 361.1, ""modelo"": ""MOD-696"", ""numero_parte"": ""NP48887""}"
23,,1,1,AREA-23,1,N/A (nodo de área),,,Media,2018-03-01,activo,{}
24,23.0,1,7,EQ-24,2,Rack 3,MH-18522,,Alta,2018-03-01,activo,"{""caudal_m3h"": 34.4, ""presion_bar"": 20.0, ""modelo"": ""MOD-684"", ""numero_parte"": ""NP26150""}"
25,23.0,1,20,EQ-25,2,cerca ventana norte,M-69453,,Alta,2018-03-01,activo,{}
26,23.0,1,19,EQ-26,2,cerca ventana norte,PG-81412,,Baja,2018-03-01,activo,{}
27,23.0,1,19,EQ-27,2,al lado de la puerta,PG-65120,,Alta,2018-03-01,activo,{}
28,,1,1,AREA-28,1,N/A (nodo de área),,,Media,2018-03-01,activo,{}
