evento_id,repuesto_id,cantidad_utilizada,costo_unitario_momento
1,1,3.7,22527.66
2,6,1.9,4182.19
3,15,4.2,1624.27
5,5,2.0,21589.07
5,14,5.0,37106.22
7,14,3.6,44905.41
8,13,4.9,98763.97
11,7,2.2,4141.28
12,10,2.5,177013.01
14,14,3.3,23969.3
15,9,2.7,23800.05
16,14,2.2,28092.51
19,11,1.6,3115.19
19,15,1.5,1854.28
20,8,4.2,12794.16
20,14,1.7,46911.94
22,8,1.9,12794.52
26,13,1.8,57494.79
28,1,1.2,29091.55
28,9,1.9,38788.73
30,1,3.7,40077.72
30,8,2.8,13359.24
31,15,1.1,2126.24
31,2,1.9,2721.59
32,15,3.7,1022.97
33,1,3.7,20366.46
33,15,3.2,1131.47
34,14,4.7,45780.41
34,1,2.8,37456.7
35,13,3.3,38182.46
36,9,2.3,33211.86
36,5,3.9,17712.99
36,10,2.1,138382.76
39,7,2.4,6142.44
40,9,4.1,41287.79
41,3,4.9,2577.18
42,15,4.8,960.25
44,9,1.0,38332.2
45,6,4.0,5952.18
45,8,1.4,10503.85
46,10,2.5,220547.47
47,6,4.0,4252.69
48,4,3.4,163016.25
50,1,1.6,28630.39
52,14,3.9,24768.8
52,6,4.0,3827.91
53,13,3.7,56371.79
53,9,2.0,35603.24
54,13,3.5,73864.03
55,10,1.4,208658.6
56,3,3.7,2091.16
56,10,2.9,186710.72
57,14,4.7,46300.65
58,15,4.1,1683.4
59,11,4.6,2227.57
59,10,4.9,132593.33
61,13,3.3,44843.17
62,10,2.9,120141.95
62,2,4.5,1537.82
63,5,1.6,17129.02
64,14,3.2,28888.92
64,8,3.7,7878.8
64,12,4.9,6303.04
65,9,4.9,30667.12
66,3,4.6,1745.93
66,14,1.7,34295.06
67,12,3.4,8807.46
68,5,2.0,26437.07
69,3,4.6,2441.23
70,13,1.1,46022.03
71,15,4.1,1782.38
72,6,3.3,6663.96
74,11,1.4,1925.13
76,8,3.3,7611.69
77,3,4.0,1457.33
78,5,1.3,18120.99
78,2,4.2,1812.1
79,4,1.3,127999.31
80,11,3.9,3207.63
81,9,3.0,51802.18
83,9,3.0,55979.99
84,11,4.2,2386.28
86,5,2.0,25914.63
86,9,4.0,48589.93
86,12,1.3,9717.99
87,9,3.1,57039.31
88,3,1.7,1533.93
88,8,5.0,8217.47
89,12,4.8,4559.91
91,2,3.7,1526.0
91,8,4.9,7153.13
92,9,1.7,29437.82
93,7,4.3,7443.36
93,11,2.9,3290.75
94,2,4.6,2878.77
94,12,4.5,10795.39
95,6,2.5,7677.58
95,7,4.6,8580.83
96,6,2.9,6595.01
96,9,4.6,46552.99
97,9,3.9,45982.21
98,3,3.1,1844.14
98,4,3.5,118552.06
99,2,2.7,1644.76
99,9,2.6,30839.31
100,4,3.3,181858.79
101,1,3.1,18901.32
102,11,3.5,2074.69
103,13,4.5,63494.28
104,12,4.7,8139.72
105,14,3.2,23320.07
106,5,3.5,20543.95
107,15,4.1,1064.56
107,13,4.5,40453.43
109,5,1.7,23626.95
112,1,2.7,22665.79
113,12,1.6,7259.17
114,11,3.1,3052.6
114,13,4.7,69046.98
117,11,3.4,2070.28
118,3,2.6,2012.51
119,4,3.1,170549.21
122,8,4.4,11810.34
123,11,1.3,2536.93
124,3,3.7,2266.42
124,4,2.3,145698.68
125,7,2.5,8068.52
127,15,4.1,2138.72
128,4,2.7,117167.26
128,8,1.8,9763.94
129,12,3.5,7129.26
130,10,3.8,150034.11
130,5,2.7,19204.37
131,4,4.8,135859.54
132,6,4.0,7905.24
133,1,1.3,21441.17
134,7,4.4,6900.81
134,4,1.5,130752.1
135,7,1.9,8410.41
136,2,4.4,1840.92
137,15,2.5,2518.6
138,15,3.4,1081.17
138,10,3.4,108116.81
139,13,4.4,67037.61
140,9,3.6,43539.94
141,2,4.6,3462.37
142,12,2.6,5010.66
143,15,3.7,970.32
143,4,2.8,69863.04
144,9,2.5,30094.47
145,1,4.4,23305.94
145,14,2.9,28485.04
146,9,4.9,37978.11
147,5,4.5,24299.32
148,10,1.7,114260.27
148,1,1.5,20566.85
148,6,1.3,3884.85
149,5,2.1,19918.28
150,4,4.9,136680.87
150,15,4.8,1898.35
152,7,1.9,6872.49
152,14,4.9,39788.08
154,7,3.8,3839.76
155,14,4.9,28933.91
156,2,4.7,1565.2
157,5,4.9,17777.74
157,4,1.0,99999.8
157,13,4.4,52777.67
158,3,3.8,2118.44
159,7,2.6,8446.34
162,15,2.5,2025.16
162,6,4.4,6885.55
162,7,2.8,7695.62
163,1,2.8,22983.76
165,6,4.4,5794.13
166,4,3.5,129014.72
166,11,2.5,3010.34
167,2,3.8,1237.31
168,1,2.2,19495.15
169,1,3.7,23213.88
169,9,4.2,30951.84
170,6,1.3,7015.03
170,8,1.2,12379.47
171,14,1.2,24595.76
172,2,2.5,1705.42
172,4,2.7,95929.64
173,15,3.8,2496.9
174,6,4.6,3650.92
175,14,3.9,36543.43
175,3,1.6,1860.39
176,9,1.2,27238.45
177,11,2.5,2087.97
180,3,1.9,2270.15
181,7,1.0,5261.36
182,13,3.7,57472.44
184,4,2.2,176680.38
184,6,4.2,8343.24
186,10,3.7,97812.94
188,10,4.1,217610.56
189,4,3.1,101940.54
190,10,2.9,207444.92
191,1,1.5,21852.47
192,5,4.2,27620.04
193,1,4.6,20088.63
193,13,4.5,42409.33
196,9,4.1,42012.34
198,12,4.7,5476.01
199,3,3.6,1549.88
200,11,4.6,3227.9
201,11,2.6,4084.71
203,14,1.7,39925.66
203,6,1.5,6170.33
204,10,4.8,111834.85
204,15,2.7,1118.35
204,14,3.8,24603.67
206,6,1.1,3344.59
209,11,4.5,3032.66
209,3,1.6,2021.77
210,1,3.0,21281.96
211,15,4.3,1505.09
211,2,4.5,1926.52
212,5,4.0,16954.38
212,8,2.0,7947.37
214,1,1.6,39790.02
216,1,4.8,45379.94
218,12,1.6,6323.45
219,3,2.2,1651.88
220,7,4.6,5350.86
221,10,1.0,165640.48
222,12,4.6,11417.24
222,7,3.6,9038.65
222,1,1.5,42814.65
225,8,2.3,12981.72
225,1,3.0,38945.16
225,14,4.6,47599.65
227,14,3.9,34799.45
228,9,4.6,27428.52
229,10,3.8,194563.4
230,14,1.1,22741.69
230,7,2.5,3928.11
231,11,2.8,2114.47
231,4,1.0,90620.18
231,6,4.7,4279.29
234,5,1.3,18723.27
234,6,1.7,4973.37
235,10,1.3,179142.89
235,12,2.9,8598.86
236,5,4.2,28361.04
236,13,3.0,84196.83
236,2,1.2,2836.1
237,11,1.8,3122.02
238,10,3.5,146832.96
239,2,4.5,3233.29
241,11,4.2,2885.49
242,15,4.7,1096.32
242,9,2.4,26311.7
242,8,3.7,6577.92
243,12,2.2,8008.59
244,3,1.5,2122.77
247,11,4.8,3309.41
247,8,2.4,11819.31
247,1,2.4,35457.94
249,10,1.5,100622.73
249,6,1.7,3421.17
250,1,1.4,28696.73
250,10,4.5,159426.3
251,5,4.2,18938.98
252,1,2.9,41989.07
252,12,3.5,11197.09
254,3,1.2,1686.37
254,1,1.3,27102.31
257,12,2.2,8942.78
263,4,2.8,81964.75
263,9,3.0,27321.58
263,14,1.6,25044.79
264,6,3.3,6389.67
265,4,2.9,84898.44
265,11,1.3,1980.96
267,1,4.6,36732.23
267,10,4.3,204067.93
267,4,1.1,146928.91
268,5,3.5,29831.75
268,3,1.0,2610.28
269,1,1.1,42218.79
270,1,3.9,25294.17
271,6,4.8,3832.15
271,14,1.9,24796.28
272,7,1.7,4309.42
272,9,2.5,27217.39
272,12,3.4,5443.48
273,12,1.4,7816.82
273,15,2.8,1628.5
274,5,2.5,31477.92
275,5,2.2,15337.88
275,7,2.2,4553.43
276,8,4.6,13152.87
277,3,3.3,2479.72
278,8,4.8,9902.25
278,10,3.8,165037.57
279,12,3.1,11027.18
280,7,2.0,4117.97
280,15,2.3,1083.68
281,9,2.4,30684.26
282,11,2.8,3051.68
282,13,2.0,69026.03
282,2,3.1,2325.09
283,7,4.9,4287.32
284,13,4.6,45175.08
284,9,1.9,28531.63
285,15,4.7,1505.82
289,10,4.2,217923.31
290,10,3.4,157637.98
293,3,4.2,2795.88
293,5,4.6,31952.94
294,6,2.1,6262.73
294,15,1.7,1841.98
295,1,3.5,18775.31
295,5,5.0,13351.33
295,14,2.5,22947.6
296,15,1.7,1076.95
297,8,3.1,6748.58
300,4,2.1,85705.44
300,8,3.0,7142.12
302,9,4.1,65887.0
303,13,3.5,38295.73
304,4,1.5,120028.1
304,7,4.3,6334.82
305,15,1.2,1300.03
306,9,4.4,37028.81
306,4,4.5,111086.42
307,15,2.7,1140.09
308,10,5.0,121527.49
309,2,2.4,1645.14
310,1,3.5,42271.35
311,12,2.7,5813.4
312,6,2.2,7491.13
312,5,3.9,28201.91
313,13,1.5,41280.24
313,3,4.8,1216.68
314,14,3.6,24566.29
314,7,4.4,4243.27
315,5,2.9,16258.11
315,11,1.7,2133.88
315,10,4.6,127016.49
316,1,4.1,31508.16
316,3,2.0,1960.51
323,4,1.1,185657.21
324,13,2.4,47604.96
324,4,2.9,90198.87
329,5,3.2,31807.28
335,4,4.8,150058.64
337,13,3.5,81315.67
341,13,2.2,72921.96
346,4,1.7,86831.66
346,5,3.7,15436.74
348,3,3.7,1276.28
349,9,1.6,31683.74
350,14,4.2,28458.3
352,6,2.0,5038.14
353,14,2.4,35374.24
354,3,4.4,1876.23
354,11,2.0,2814.34
355,11,2.7,2799.19
355,5,2.9,21327.14
356,7,2.9,6471.01
357,8,3.5,11976.39
359,9,4.9,50158.47
359,7,1.9,7941.76
364,7,2.0,8374.69
364,1,3.9,39669.59
380,9,1.8,45502.09
382,9,4.1,47127.33
383,13,1.0,70410.63
384,6,3.1,7678.58
385,2,3.3,2991.77
385,15,3.7,2337.32
388,11,4.9,1909.64
393,13,3.7,47145.23
396,6,1.5,5461.79
399,12,4.6,8488.38
399,6,1.1,6012.6
400,10,3.4,195651.17
400,7,3.5,7434.74
400,3,4.8,2191.29
401,7,1.5,8515.92
405,12,3.4,11552.88
406,13,4.9,41786.06
407,5,3.5,12355.32
411,9,1.4,30642.39
412,4,2.1,96313.76
412,14,2.7,29429.2
413,5,1.4,17802.07
413,7,4.1,5284.99
417,1,3.0,26194.34
426,6,2.4,8007.15
427,8,4.1,13716.23
429,10,4.0,109492.43
429,5,3.0,14015.03
429,2,1.9,1401.5
431,13,3.5,44572.63
432,13,3.9,47952.36
434,4,3.6,95301.37
434,15,3.2,1323.63
434,9,4.5,31767.12
435,13,4.4,54047.61
437,15,2.0,1388.69
437,6,1.7,4721.54
438,5,1.8,21917.75
443,4,2.8,143181.08
447,10,4.1,247403.09
447,8,3.0,14844.19
448,7,1.2,3912.85
448,8,3.6,6178.19
448,10,1.0,102969.82
449,11,4.6,1711.38
450,13,3.9,45090.97
455,12,3.6,6561.02
459,3,4.6,1552.69
460,9,1.8,39603.0
462,3,3.3,1988.38
463,12,1.2,8969.47
469,2,1.0,1335.34
469,9,4.3,25037.62
471,12,4.6,5698.06
471,1,2.0,21367.71
472,2,3.7,1406.49
475,14,3.1,31333.44
476,1,3.1,26247.28
477,10,2.0,149617.67
477,12,1.8,7181.65
478,14,3.0,33484.11
480,6,3.3,5763.46
481,5,3.6,21496.79
481,2,1.3,2149.68
482,2,1.6,2253.04
485,1,4.1,40530.98
486,7,3.9,9146.55
486,5,3.2,30809.44
486,15,3.4,2406.99
488,11,1.3,4439.84
489,7,3.7,3645.37
490,9,1.4,26998.38
490,12,3.3,5399.68
492,8,3.1,7046.0
494,1,5.0,21548.25
497,14,3.8,33529.93
497,2,3.0,1950.83
498,14,3.9,35628.69
498,9,3.5,38867.66
498,1,1.3,29150.75
499,6,1.5,5952.34
501,14,4.1,39937.31
501,9,3.9,43567.97
502,12,3.1,8378.1
502,10,4.5,174543.75
502,11,4.2,2932.33
503,1,1.6,36494.96
503,14,2.4,44604.95
504,5,1.4,23159.45
507,11,1.8,3557.57
507,3,4.2,2371.72
509,3,3.5,2519.55
