evento_id,tecnico_id
1,2
2,1
3,4
3,5
4,5
5,3
5,4
6,6
7,6
8,4
8,1
8,6
9,6
10,1
10,4
11,2
12,1
12,6
13,4
14,1
15,3
15,4
16,2
16,4
17,2
18,1
18,3
19,4
20,5
20,4
20,2
21,5
22,3
23,5
23,4
24,6
25,6
26,6
27,4
27,5
27,1
28,3
29,1
29,4
30,5
30,2
30,4
31,2
32,6
32,2
32,1
33,3
34,1
35,2
36,4
36,3
37,4
38,5
39,6
40,4
41,4
42,1
42,4
43,3
44,4
45,3
45,4
46,3
46,2
46,1
47,2
48,3
48,1
49,5
50,6
51,2
52,4
52,1
53,2
53,3
54,4
55,2
55,5
56,3
56,1
57,2
58,5
58,1
58,3
59,1
60,2
61,3
62,4
63,3
64,4
65,1
65,5
65,2
66,5
67,6
67,4
68,5
69,5
70,4
70,1
71,6
72,3
73,3
74,2
75,4
76,3
76,6
77,3
78,5
78,3
78,4
79,1
79,3
80,5
81,4
81,6
82,4
83,4
84,2
85,5
86,1
87,3
88,3
88,2
89,2
89,1
90,4
91,4
91,2
91,5
92,6
93,6
94,6
94,1
95,5
95,3
96,4
97,5
97,4
97,1
98,6
99,4
99,3
100,4
101,13
102,12
102,10
102,9
103,9
103,12
104,12
105,12
106,11
107,9
107,8
107,11
108,11
108,7
109,12
110,8
110,7
111,11
112,11
112,12
113,9
114,13
115,11
115,8
116,11
117,8
117,9
117,12
118,10
118,8
119,9
120,11
121,12
121,8
122,11
123,8
124,8
125,8
126,7
126,10
127,10
127,7
128,10
129,9
129,10
129,13
130,11
130,10
131,10
131,12
132,13
133,10
133,8
133,11
134,10
135,11
136,8
136,11
136,12
137,8
138,12
139,8
140,10
141,10
142,11
143,12
143,8
144,11
144,10
145,8
146,10
146,13
147,10
147,13
148,8
148,7
149,8
149,13
150,8
151,12
151,7
152,11
153,9
153,11
153,8
154,8
154,13
155,13
156,9
156,12
157,13
157,12
158,13
159,12
160,22
160,15
160,16
161,17
161,20
162,16
163,20
164,17
164,14
165,19
166,21
166,22
167,21
168,19
169,20
170,16
170,21
171,22
171,18
172,21
172,19
172,17
173,20
173,19
174,16
174,20
174,17
175,17
176,18
177,14
178,17
178,14
179,17
180,22
181,16
181,18
182,19
183,14
183,18
183,16
184,19
185,15
185,21
186,17
187,19
187,20
188,21
188,19
189,21
190,20
191,18
192,18
192,14
193,29
194,25
194,23
194,24
195,24
196,26
196,25
197,23
198,25
199,27
200,26
201,24
201,25
202,24
202,25
203,28
203,30
204,27
205,24
206,24
207,24
208,25
209,25
209,28
210,24
211,29
211,25
211,28
212,24
213,24
214,28
214,25
215,24
216,29
216,27
217,25
217,28
218,24
219,29
220,26
221,29
221,26
222,29
223,26
224,27
225,30
225,27
226,29
226,25
226,24
227,29
227,25
228,25
229,24
230,25
231,29
231,24
232,26
233,29
234,29
235,30
236,28
236,30
237,25
238,29
239,27
239,29
240,25
241,27
241,24
242,28
242,24
243,29
244,24
244,29
245,30
245,29
246,29
247,24
248,25
249,29
250,24
251,24
251,23
251,28
252,28
252,25
252,26
253,30
253,24
254,29
254,23
255,23
256,27
256,29
256,23
257,34
257,37
258,36
259,35
259,37
260,37
261,35
262,36
262,33
262,35
263,37
264,31
265,34
265,33
266,36
266,37
266,34
267,32
268,31
269,35
270,34
270,35
271,35
272,37
272,32
273,37
274,35
274,37
274,36
275,32
276,37
276,32
277,35
278,37
278,32
279,37
280,35
281,34
282,31
282,37
283,35
283,37
284,37
285,37
286,34
287,33
288,31
289,31
290,33
290,31
291,35
291,32
291,33
292,34
293,34
293,37
294,37
294,35
295,35
295,31
296,31
297,36
298,31
298,33
299,35
300,31
300,33
300,37
301,36
301,33
302,35
303,35
304,32
304,33
305,37
305,34
306,32
306,37
307,32
307,36
308,36
308,33
309,37
309,34
310,37
311,34
311,37
312,36
313,31
314,35
314,31
314,37
315,35
315,31
315,36
316,31
316,33
316,35
317,31
317,35
318,33
318,36
319,31
320,28
321,30
322,33
323,37
323,35
324,34
325,28
326,26
326,28
327,25
327,24
328,23
328,24
329,28
330,35
330,34
331,32
332,37
332,35
333,37
334,33
335,32
335,35
335,37
336,32
336,37
337,37
338,31
339,32
339,36
340,34
341,34
342,34
343,37
344,2
344,1
345,2
346,2
347,4
347,1
347,2
348,2
349,1
350,2
351,1
351,6
352,2
353,3
354,3
355,2
356,3
357,3
357,6
358,5
359,3
360,2
360,3
361,2
362,3
362,1
363,6
364,3
364,2
364,4
365,3
365,4
366,5
367,3
368,3
369,3
369,6
370,2
371,1
372,1
372,2
373,4
374,5
374,2
374,3
375,6
376,6
377,4
377,2
378,2
379,4
380,5
381,2
381,3
382,3
383,4
383,3
384,3
384,6
385,4
385,2
386,2
386,3
387,26
388,24
389,29
389,30
390,27
390,29
391,25
391,30
392,24
392,29
392,23
393,29
393,24
393,27
394,29
395,27
395,29
396,26
397,25
397,27
398,29
398,28
398,30
399,23
399,27
400,23
401,29
402,30
402,27
403,24
404,24
405,24
405,29
405,26
406,37
407,33
407,37
407,36
408,35
409,37
409,32
410,33
410,31
411,32
412,32
412,36
413,37
414,33
415,37
415,33
416,36
416,37
416,31
417,31
418,32
418,36
419,36
419,37
419,32
420,31
420,33
420,35
421,36
422,32
422,31
423,31
424,36
424,32
424,31
425,37
425,31
426,32
427,34
427,37
428,37
429,37
430,37
431,36
432,34
432,33
433,33
434,31
434,34
435,32
436,31
436,37
437,34
437,37
438,36
438,33
439,32
439,35
440,35
441,32
441,37
442,31
443,37
444,36
444,37
445,37
445,36
446,36
446,33
447,31
448,6
449,4
449,3
450,4
450,2
450,3
451,2
452,2
453,2
454,2
454,5
454,1
455,4
455,6
455,3
456,2
456,3
457,1
457,5
458,4
459,2
460,3
461,5
461,2
462,5
463,2
464,4
465,1
466,6
466,3
466,5
467,4
467,3
468,5
469,2
469,3
470,2
470,4
471,3
472,5
472,3
472,2
473,2
473,3
474,3
475,2
476,2
477,2
478,1
478,5
478,2
479,4
479,6
480,4
480,2
481,2
482,5
482,2
483,2
483,3
484,3
484,5
485,4
486,2
486,3
487,3
488,2
488,3
489,25
490,27
490,29
491,29
492,25
493,29
494,23
494,28
494,29
495,29
496,29
497,24
497,29
498,29
499,28
499,25
500,28
501,29
501,27
502,29
502,24
503,27
504,29
504,24
505,29
505,24
506,24
507,27
507,24
508,29
509,29
509,27
510,27
510,29
511,37
511,34
512,33
513,31
514,31
515,36
515,37
516,33
517,37
518,37
519,34
520,35
521,37
522,33
523,37
524,36
524,35
525,32
525,37
526,31
526,32
527,31
528,34
529,37
530,36
531,34
532,37
533,36
534,36
534,33
535,36
536,37
536,31
537,36
537,37
538,34
538,37
539,34
539,35
540,31
541,34
541,37
542,37
543,37
543,34
544,34
544,37
544,35
545,36
546,33
547,32
548,36
548,32
548,37
549,37
549,36
550,32
551,4
551,1
552,3
552,2
553,6
553,2
554,3
554,2
555,4
556,1
557,3
557,4
558,3
558,4
559,2
560,6
560,2
561,4
561,3
561,1
562,1
562,3
563,6
564,3
565,2
566,4
567,3
567,5
568,5
569,5
570,5
570,1
570,3
571,3
571,2
572,1
573,7
574,9
574,8
575,13
576,10
576,11
577,9
577,10
578,10
579,13
580,8
581,7
581,9
582,11
582,10
583,9
584,10
585,7
585,8
586,8
587,9
588,9
589,10
590,8
590,10
591,8
592,18
593,21
593,18
594,22
595,22
596,17
596,16
597,26
597,29
598,29
599,23
599,26
600,37
601,35
601,37
602,31
603,35
603,37
604,36
605,34
606,37
607,33
608,34
609,37
609,33
610,32
611,5
612,6
613,4
614,3
614,1
615,3
615,1
616,6
617,2
618,3
619,6
619,3
620,1
621,3
622,1
622,2
622,3
623,3
623,2
624,2
625,2
625,3
626,3
626,2
626,6
627,4
628,5
629,2
630,3
630,2
630,1
631,2
632,3
633,4
633,6
633,3
634,3
635,2
636,3
636,2
637,2
638,2
638,5
639,3
640,6
640,5
641,2
642,5
642,6
643,3
644,1
645,1
646,2
647,3
647,2
648,2
648,1
649,1
649,2
649,3
650,2
651,3
651,6
652,3
653,1
654,4
654,2
654,3
655,3
656,6
657,2
658,5
658,2
658,3
659,3
659,4
660,3
660,2
660,5
661,2
662,3
662,6
663,4
664,1
664,3
665,4
666,1
666,3
667,2
667,6
667,1
668,2
669,3
669,4
670,4
670,3
671,3
671,2
672,3
673,3
674,2
675,4
675,2
676,6
676,5
676,1
677,3
678,3
678,5
679,3
679,6
679,5
680,5
681,2
682,3
682,6
682,2
683,1
684,2
685,5
686,3
687,3
688,3
688,2
689,2
690,3
691,2
692,5
693,3
694,2
694,3
695,2
696,6
697,1
697,6
698,1
699,6
700,4
701,3
701,2
702,4
703,3
704,4
705,3
705,2
706,7
707,7
707,8
708,10
709,9
709,10
710,12
710,11
711,12
711,10
712,10
712,8
713,13
