evento_id,activo_id,orden_id,tipo_mantenimiento,tipo_falla_id,fecha_hora_inicio,fecha_hora_fin,genero_paro_planta,descripcion
1,2,,correctivo,10.0,2024-04-09 09:03:05.300383,2024-04-10 02:52:34.853051,False,PARADA IMPREVISTA
2,2,,correctivo,12.0,2024-07-12 13:56:37.481892,2024-07-13 00:56:41.368120,False,detectado ruido anormal
3,2,,correctivo,5.0,2024-12-28 04:43:18.524417,2024-12-28 15:01:13.238261,True,reparación de urgencia
4,2,,correctivo,1.0,2025-03-30 08:08:50.877964,2025-03-31 07:09:18.830599,False,pérdida reportada por turno noche
5,2,,correctivo,1.0,2025-04-17 21:08:41.514886,2025-04-18 05:15:48.092750,False,"falla detectada por operador, se interviene"
6,3,,correctivo,9.0,2024-04-22 06:03:30.495503,2024-04-22 23:01:42.689116,False,falla en arranque
7,3,,correctivo,,2025-09-27 23:37:46.727753,2025-09-29 22:51:13.610357,True,intervención según diagnóstico previo
8,3,,correctivo,10.0,2025-11-05 13:16:10.409151,2025-11-05 21:32:11.706722,True,reparación de urgencia
9,4,,correctivo,5.0,2024-01-23 07:06:17.239355,2024-01-23 17:16:20.448212,False,"falla detectada por operador, se interviene"
10,4,,correctivo,10.0,2024-04-22 22:35:48.957222,2024-04-23 03:15:04.859948,False,para por alarma
11,5,,correctivo,1.0,2024-03-04 08:08:37.433392,2024-03-04 14:58:59.109006,False,"falla detectada por operador, se interviene"
12,5,,correctivo,5.0,2025-04-20 21:18:42.234792,2025-04-21 06:51:45.639840,False,intervención según diagnóstico previo
13,5,,correctivo,13.0,2025-10-29 12:52:39.476373,2025-10-29 18:39:28.174527,False,"falla detectada por operador, se interviene"
14,6,,correctivo,10.0,2024-02-08 11:15:00.803262,2024-02-08 21:58:36.539407,True,falla en arranque
15,6,,correctivo,9.0,2024-02-23 08:13:03.677676,2024-02-24 23:10:25.671307,False,s/observaciones
16,6,,correctivo,,2024-04-08 22:10:14.878510,2024-04-09 21:26:32.431613,False,para por alarma
17,6,,correctivo,5.0,2024-11-14 06:44:29.447747,2024-11-14 13:28:20.243823,True,s/observaciones
18,6,,correctivo,1.0,2025-01-25 09:25:48.926632,2025-01-27 05:59:30.354737,True,detectado ruido anormal
