log_id,planta_id,activo_id,fecha_hora,tipo_evento_id,descripcion
1,4,109.0,2024-01-01 02:22:30.553267,13,sin novedad
2,1,,2024-01-01 06:00:00.000000,20,normal
3,5,,2024-01-01 06:00:00.000000,21,ok
4,3,63.0,2024-01-01 12:16:51.742203,11,ok.
5,1,,2024-01-01 14:00:00.000000,20,ok
6,3,,2024-01-01 14:00:00.000000,20,s/n
7,1,36.0,2024-01-01 15:05:13.224113,16,restablecida sola
8,2,,2024-01-01 22:00:00.000000,20,normal
9,1,5.0,2024-01-01 22:58:37.897810,11,DRN OK
10,4,,2024-01-02 06:00:00.000000,22,s/n
11,5,,2024-01-02 06:00:00.000000,19,ok
12,2,,2024-01-02 06:00:00.000000,20,s/n
13,1,36.0,2024-01-02 18:21:09.402554,14,sin novedad
14,3,,2024-01-02 22:00:00.000000,22,
15,2,,2024-01-02 22:00:00.000000,20,
16,4,,2024-01-02 22:00:00.000000,22,normal
17,5,,2024-01-02 22:00:00.000000,21,normal
18,4,87.0,2024-01-02 22:05:58.491693,13,sin novedad
19,4,93.0,2024-01-03 00:43:46.351541,12,DRN OK
20,4,110.0,2024-01-03 02:58:52.771132,10,DRN OK
21,4,102.0,2024-01-03 05:08:01.236345,18,restablecida sola
22,3,,2024-01-03 06:00:00.000000,20,normal
23,1,30.0,2024-01-03 06:13:17.108483,12,ok.
24,5,127.0,2024-01-03 12:28:01.974524,13,OK
25,5,,2024-01-03 14:00:00.000000,19,s/n
26,2,,2024-01-03 14:00:00.000000,21,normal
27,2,52.0,2024-01-03 15:59:09.467906,15,sin intervencion
28,2,40.0,2024-01-03 18:30:40.133525,17,operador reseteo
29,2,,2024-01-03 22:00:00.000000,19,s/n
30,4,,2024-01-03 22:00:00.000000,19,s/n
31,5,118.0,2024-01-03 22:31:51.988673,10,ok.
32,2,48.0,2024-01-04 03:22:45.222245,13,ok.
33,4,98.0,2024-01-04 05:54:23.394017,13,
34,1,29.0,2024-01-04 05:59:06.555751,13,sin novedad
35,5,,2024-01-04 06:00:00.000000,19,ok
36,1,,2024-01-04 06:00:00.000000,19,ok
37,3,,2024-01-04 06:00:00.000000,22,s/n
38,5,122.0,2024-01-04 09:07:36.195693,16,sin intervencion
39,1,,2024-01-04 14:00:00.000000,20,s/n
40,3,66.0,2024-01-04 14:34:05.962823,14,purga completa
41,2,39.0,2024-01-04 21:10:21.738586,14,
42,5,,2024-01-04 22:00:00.000000,20,normal
43,4,104.0,2024-01-05 05:34:27.840234,17,sin intervencion
44,2,,2024-01-05 06:00:00.000000,20,normal
45,1,,2024-01-05 06:00:00.000000,22,ok
46,2,44.0,2024-01-05 06:44:59.046350,11,ok.
47,1,3.0,2024-01-05 11:52:48.246355,13,DRN OK
48,1,,2024-01-05 14:00:00.000000,20,normal
49,3,,2024-01-05 14:00:00.000000,21,ok
50,2,,2024-01-05 14:00:00.000000,20,normal
51,2,,2024-01-05 18:44:17.129110,29,
52,1,,2024-01-05 22:00:00.000000,22,ok
53,4,,2024-01-05 22:00:00.000000,21,normal
54,2,,2024-01-05 22:00:00.000000,22,s/n
55,2,57.0,2024-01-05 23:33:02.785080,13,purga completa
56,3,72.0,2024-01-06 01:32:51.481279,17,sin intervencion
57,4,102.0,2024-01-06 03:08:55.787819,11,
58,3,63.0,2024-01-06 05:18:58.362098,11,OK
59,2,,2024-01-06 06:00:00.000000,20,s/n
60,5,,2024-01-06 06:00:00.000000,21,normal
61,1,,2024-01-06 09:52:27.440184,28,
62,4,,2024-01-06 14:00:00.000000,19,s/n
