tipo_cambio_id,periodo,valor_promedio
1,2024-01-01,900.0
2,2024-02-01,921.96
3,2024-03-01,969.22
4,2024-04-01,1021.66
5,2024-05-01,1032.63
6,2024-06-01,1053.76
7,2024-07-01,1097.93
8,2024-08-01,1136.64
9,2024-09-01,1181.82
10,2024-10-01,1213.97
11,2024-11-01,1278.54
12,2024-12-01,1344.6
13,2025-01-01,1399.72
14,2025-02-01,1479.37
15,2025-03-01,1548.92
16,2025-04-01,1590.92
17,2025-05-01,1663.35
18,2025-06-01,1705.96
19,2025-07-01,1796.68
20,2025-08-01,1867.2
21,2025-09-01,1936.71
22,2025-10-01,1994.4
23,2025-11-01,2110.75
24,2025-12-01,2190.29
